"set","mask_variant","cov","density","scene","status","error","f1","precision","recall","fragment_recovery_recovery_rate","adjusted_rand_index","vi_split_bits","vi_merge_bits","vi_total_bits","n_common_fragments","n_gt_groups","n_pred_groups"
"testcmp10","clean","cov40","40","synth_0002","ok","","0.8770270270270271","0.8699731903485255","0.8841961852861036","0.8113207547169812","0.8742418694855715","0.18695492346396653","0.22815528682046277","0.4151102102844293","259","53","51"
"testcmp10","clean","cov40","40","synth_0003","ok","","0.7850854479544277","0.812433011789925","0.7595190380761523","0.6666666666666666","0.7800584797503154","0.3818104668860489","0.3405415290862399","0.7223519959722888","291","51","51"
"testcmp10","clean","cov40","40","synth_0004","ok","","0.9451754385964913","0.9493392070484582","0.9410480349344978","0.9183673469387755","0.9438051896412956","0.11422438315142014","0.11282498616828403","0.22704936931970415","274","49","48"
"testcmp10","clean","cov40","40","synth_0005","ok","","0.6932515337423313","0.6647058823529411","0.7243589743589743","0.56","0.6853306693423419","0.4464594910520543","0.5731264399443852","1.0195859309964395","279","50","45"
"testcmp10","clean","cov40","40","synth_0006","ok","","0.8938547486033519","0.9022556390977443","0.8856088560885609","0.7916666666666666","0.8912936387272652","0.17537411738534406","0.17651606313466045","0.35189018052000454","214","48","47"
"testcmp10","clean","cov40","40","synth_0007","ok","","0.7746031746031746","0.7810499359795134","0.7682619647355163","0.7755102040816326","0.7686552987910008","0.3465493076456231","0.35067108617668996","0.697220393822313","248","49","48"
"testcmp10","clean","cov40","40","synth_0008","ok","","0.7583176396735718","0.760705289672544","0.7559449311639549","0.6666666666666666","0.7529792943922855","0.3673565280538116","0.38384773710976783","0.7512042651635794","272","54","53"
"testcmp10","clean","cov40","40","synth_0009","ok","","0.8222996515679443","0.8290398126463701","0.815668202764977","0.7547169811320755","0.8180812258117739","0.3047207365710336","0.2927811368134247","0.5975018733844584","273","53","53"
"testcmp10","clean","cov50","50","synth_0000","ok","","0.7699366397203409","0.7958446251129178","0.7456622936944562","0.7164179104477612","0.7655889307252978","0.42196413865725757","0.37216350294452516","0.7941276416017827","497","67","69"
"testcmp10","clean","cov50","50","synth_0001","ok","","0.8253286825865307","0.8381471389645777","0.8128964059196617","0.7945205479452054","0.8225348155507995","0.3266840440581825","0.2888434090359955","0.615527453094178","487","73","76"
"testcmp10","clean","cov50","50","synth_0002","ok","","0.8259310344827586","0.8211738891936369","0.8307436182019978","0.7941176470588235","0.8228632817472021","0.3028593090502735","0.30136147800094987","0.6042207870512233","458","68","70"
"testcmp10","clean","cov50","50","synth_0003","ok","","0.7352941176470589","0.7604562737642585","0.7117437722419929","0.6708860759493671","0.7305762111146188","0.4538692029629427","0.44428470511534635","0.898153908078289","432","79","76"
"testcmp10","clean","cov50","50","synth_0004","ok","","0.8131728942368588","0.8397645519947678","0.7882136279926335","0.7258064516129032","0.8095365273790947","0.3567604239419758","0.3001744234629598","0.6569348474049357","407","62","64"
"testcmp10","clean","cov50","50","synth_0005","ok","","0.772137828825491","0.7864150943396226","0.7583697234352256","0.6933333333333334","0.7684300289933805","0.3849620565909948","0.3581426782859237","0.7431047348769185","411","75","76"
"testcmp10","clean","cov50","50","synth_0006","ok","","0.8381791483113068","0.8135689851767389","0.8643246517262265","0.7164179104477612","0.8352373673440637","0.26943758141586727","0.32405055316951586","0.5934881345853831","437","67","66"
"testcmp10","clean","cov50","50","synth_0007","ok","","0.7613727055067837","0.7802617230098147","0.7433766233766234","0.6612903225806451","0.7563162549836246","0.46359302763114546","0.42574703377486256","0.8893400614060081","426","62","62"
"testcmp10","clean","cov50","50","synth_0008","ok","","0.7950819672131147","0.7793572311495673","0.8114543114543115","0.7313432835820896","0.7914639905688274","0.34707519800454645","0.37375198540824744","0.720827183412794","428","67","66"
"testcmp10","clean","cov50","50","synth_0009","ok","","0.8382234185733513","0.8559648158328752","0.8212025316455697","0.7419354838709677","0.8348681175208629","0.3383245041606362","0.28901676310996793","0.6273412672706041","428","62","64"
"testcmp10","clean","cov60","60","synth_0000","ok","","0.7655767040832926","0.7911903160726295","0.7415694925937598","0.6363636363636364","0.7621247684153084","0.49457214565625507","0.4224756554453628","0.9170478011016179","651","88","91"
"testcmp10","clean","cov60","60","synth_0001","ok","","0.7572263993316625","0.7829993089149966","0.7330960854092526","0.6292134831460674","0.7538738153154595","0.5054057455352341","0.42600857609501697","0.9314143216302511","663","89","95"
"testcmp10","clean","cov60","60","synth_0002","ok","","0.8593536640873919","0.8880526810912511","0.8324514991181657","0.8295454545454546","0.8574241170173444","0.31812331755523776","0.23739775625853898","0.5555210738137768","698","88","94"
"testcmp10","clean","cov60","60","synth_0003","ok","","0.7396326453323234","0.7682926829268293","0.7130339539978094","0.625","0.7363262205765161","0.495682372461981","0.4365344531747821","0.9322168256367631","649","104","106"
"testcmp10","clean","cov60","60","synth_0004","ok","","0.7631352282515073","0.7661708751297129","0.7601235415236788","0.6847826086956522","0.7596251686560227","0.4625781822807622","0.4576977310250218","0.9202759133057841","631","92","93"
"testcmp10","clean","cov60","60","synth_0005","ok","","0.7339416711397388","0.7249911629551078","0.7431159420289855","0.5789473684210527","0.7302674673744136","0.5102488741877127","0.5283487063637883","1.0385975805515009","641","95","93"
"testcmp10","clean","cov60","60","synth_0006","ok","","0.7829736211031175","0.8058412176059235","0.7613680528565876","0.6764705882352942","0.7803704655348151","0.41919240755098874","0.3602652618674367","0.7794576694184254","650","102","106"
"testcmp10","clean","cov60","60","synth_0007","ok","","0.7506822128504093","0.7664640324214792","0.7355371900826446","0.62","0.7475007723293016","0.4421205707755213","0.4201999432928876","0.8623205140684089","566","100","98"
"testcmp10","clean","cov60","60","synth_0008","ok","","0.7594454072790295","0.7808267997148967","0.7392037786774629","0.6705882352941176","0.7558474419632211","0.4720454521582463","0.45787338510507825","0.9299188372633245","626","85","84"
"testcmp10","clean","cov60","60","synth_0009","ok","","0.6958456973293767","0.7034120734908137","0.688440366972477","0.6","0.691275697354886","0.5723754405240156","0.5535381886577573","1.1259136291817728","604","85","87"
